episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
177,12394,42.53899999999986,0.7056425,0.9737446308135986,48,10,4,57,2849
178,12446,-321.1779999999999,0.7044075000000001,1.1839076280593872,36,9,7,48,2862
179,12522,-310.7750000000001,0.7026025,0.5267433524131775,50,14,12,72,2881
180,12581,-152.34900000000005,0.70120125,0.7615483999252319,43,10,6,55,2896
181,12633,-93.90099999999998,0.69996625,0.8757358193397522,39,6,7,51,2909
182,12694,-237.87299999999993,0.6985175,0.5510841608047485,40,10,11,56,2924
183,12755,-485.07499999999993,0.69706875,0.9070636034011841,43,9,9,58,2939
184,12862,139.73600000000016,0.6945275,0.5805742740631104,63,23,21,101,2966
185,12933,-124.25099999999998,0.6928412500000001,0.8930512070655823,45,18,8,62,2984
186,13003,-71.22300000000001,0.69117875,1.0631940364837646,46,14,10,63,3001
187,13068,-48.16000000000011,0.689635,0.8378376364707947,48,10,7,59,3018
188,13143,-186.21000000000004,0.6878537499999999,1.0046371221542358,43,16,16,71,3036
189,13200,-345.947,0.6865,1.1152210235595703,42,6,9,54,3051
190,13264,-451.69900000000007,0.68498,0.9257575273513794,43,8,13,60,3067
191,13327,-288.439,0.68348375,1.1862869262695312,46,8,9,56,3082
192,13380,-249.66299999999995,0.682225,0.7562803030014038,39,9,5,51,3096
193,13462,-478.8460000000001,0.6802775,1.2156293392181396,54,11,17,73,3116
194,13524,-295.55899999999997,0.678805,0.8073369264602661,40,10,12,60,3132
195,13595,-482.84900000000005,0.67711875,0.9953532814979553,46,13,12,66,3149
196,13660,-11.310000000000073,0.675575,1.084331750869751,45,10,10,57,3166
197,13726,-273.507,0.6740075,0.7242894172668457,43,16,7,59,3182
198,13801,-13.817000000000007,0.67222625,0.92103111743927,46,11,18,67,3201
199,13857,-358.11100000000005,0.67089625,1.1575126647949219,43,3,10,53,3215
200,13933,-279.2180000000001,0.66909125,1.034839153289795,53,8,15,68,3234
201,14012,-420.8100000000002,0.667215,0.9620388150215149,53,13,13,72,3254
202,14068,-49.185000000000116,0.6658850000000001,1.1398699283599854,38,10,8,54,3268
203,14163,-502.654,0.66362875,1.350071907043457,62,21,12,82,3291
204,14228,-172.4560000000001,0.662085,0.8863095641136169,48,9,8,60,3308
205,14307,-727.5100000000001,0.66020875,0.7327659130096436,54,16,9,71,3327
206,14407,-6.80300000000021,0.65783375,1.1120846271514893,63,19,18,88,3352
207,14457,-241.694,0.6566462500000001,1.024501919746399,41,4,5,46,3365
208,14504,-135.73999999999998,0.6555300000000001,0.8248536586761475,38,6,3,44,3377
209,14580,-479.53999999999996,0.653725,1.1015719175338745,51,9,16,72,3396
210,14632,-514.628,0.65249,0.5984904766082764,40,5,7,49,3409
211,14702,-559.842,0.6508275,0.8649313449859619,49,9,12,67,3426
212,14764,-402.97900000000004,0.649355,0.7811372876167297,48,10,4,57,3442
