episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
178,12450,-393.3280000000001,0.7043125,8.220344543457031,49,12,8,64,2863
179,12523,-63.370000000000005,0.70257875,11.803159713745117,49,14,10,70,2881
180,12595,-177.44400000000002,0.7008687499999999,10.86396598815918,51,10,11,68,2899
181,12656,-453.25899999999996,0.6994199999999999,13.860397338867188,43,7,11,56,2915
182,12756,-513.82,0.697045,11.608612060546875,58,23,19,90,2940
183,12817,-63.432999999999964,0.69559625,9.043438911437988,43,8,10,58,2955
184,12889,-3.529000000000053,0.69388625,13.588281631469727,52,14,6,67,2973
185,12964,-350.99200000000013,0.692105,7.084737777709961,46,15,14,67,2992
186,13053,-508.003,0.6899912500000001,14.93667984008789,56,12,21,83,3014
187,13115,-103.8470000000001,0.6885187500000001,9.319857597351074,46,9,7,54,3029
188,13191,-132.62100000000012,0.68671375,13.163708686828613,48,10,18,69,3048
189,13278,19.97399999999982,0.6846475000000001,10.752547264099121,58,19,10,77,3070
190,13340,-269.682,0.683175,13.094269752502441,46,9,7,55,3086
191,13403,-612.1280000000002,0.68167875,5.744614124298096,46,5,12,61,3101
192,13451,-113.947,0.68053875,9.245267868041992,35,5,8,45,3113
193,13514,-131.79400000000015,0.6790425,6.716063499450684,44,9,10,57,3129
194,13597,-264.8310000000001,0.67707125,9.10753345489502,53,13,17,79,3150
195,13648,-168.63499999999988,0.67586,16.652009963989258,41,7,3,47,3163
196,13719,-337.312,0.67417375,5.110805988311768,49,11,11,60,3180
197,13774,-432.134,0.6728675,8.634333610534668,36,6,13,53,3194
198,13832,-233.76300000000003,0.67149,7.677545070648193,41,8,9,54,3209
199,13910,-430.81300000000016,0.6696375,11.598455429077148,47,15,16,70,3228
200,13957,-174.71300000000002,0.66852125,7.958932399749756,35,6,6,44,3240
201,14054,17.233000000000004,0.6662175,12.928252220153809,61,15,21,85,3264
202,14131,-276.9700000000001,0.6643887500000001,12.712949752807617,51,12,14,69,3283
203,14198,-122.48599999999988,0.6627975,9.497673988342285,45,14,8,58,3300
204,14261,-392.4160000000001,0.66130125,10.517151832580566,40,8,15,62,3316
205,14315,-185.39800000000008,0.6600187500000001,10.60107135772705,42,7,5,52,3329
206,14402,-158.382,0.6579525,6.525007724761963,56,15,16,79,3351
207,14457,-94.41299999999997,0.6566462500000001,12.74300765991211,45,6,4,51,3365
208,14516,-315.23800000000006,0.6552450000000001,9.392022132873535,42,5,12,57,3380
209,14576,-242.68099999999993,0.6538200000000001,9.497001647949219,43,7,10,57,3395
210,14632,-489.9960000000001,0.65249,9.732635498046875,43,7,6,52,3409
211,14676,-93.37200000000001,0.651445,12.61436653137207,33,7,4,44,3420
212,14741,-512.236,0.6499012500000001,17.22442054748535,46,8,11,60,3436
213,14803,-170.736,0.6484287500000001,12.601461410522461,46,9,7,57,3451
214,14852,-115.25899999999999,0.647265,10.375456809997559,40,6,3,44,3464
215,14921,-163.59300000000002,0.6456262500000001,9.828428268432617,53,10,6,63,3481
216,14991,-184.29199999999992,0.64396375,12.67257022857666,50,10,10,63,3498
217,15052,-4.07799999999996,0.642515,18.279964447021484,38,7,16,59,3514
218,15133,-171.52699999999993,0.64059125,11.443053245544434,54,17,10,69,3534
219,15178,-190.83500000000004,0.6395225,15.31566333770752,39,2,4,43,3545
220,15222,-145.78199999999995,0.6384775,8.366071701049805,33,3,8,42,3556
221,15286,-262.04700000000014,0.6369575000000001,12.85739803314209,42,9,13,57,3572
222,15342,-587.1250000000001,0.6356275,11.456409454345703,42,4,10,52,3586
223,15387,-310.8960000000001,0.6345587500000001,12.229158401489258,35,6,4,42,3597
224,15458,-421.645,0.6328725,12.839567184448242,53,7,11,66,3615
225,15524,-160.04000000000005,0.631305,13.024887084960938,40,9,17,62,3632
226,15571,-235.83100000000002,0.6301887500000001,11.104207038879395,35,6,6,46,3643
227,15618,-349.05199999999996,0.6290724999999999,16.834291458129883,36,3,8,46,3655
228,15708,-117.12400000000007,0.626935,10.082221031188965,58,11,21,82,3678
229,15756,-110.98700000000005,0.6257950000000001,7.870688438415527,37,5,6,46,3690
230,15824,-96.61699999999996,0.62418,10.109952926635742,52,10,6,61,3707
231,15886,-65.25700000000006,0.6227075,12.204143524169922,43,9,10,60,3722
232,15950,-143.22299999999996,0.6211875,14.343474388122559,41,9,14,61,3738
233,16004,-361.2370000000001,0.6199049999999999,18.379623413085938,41,8,5,50,3752
234,16057,-200.442,0.6186462500000001,11.926881790161133,39,7,7,48,3765
235,16124,-309.6919999999999,0.617055,10.569186210632324,48,11,8,59,3782
236,16175,-213.93400000000005,0.61584375,8.226554870605469,37,8,6,48,3794
237,16240,-297.05199999999996,0.6143000000000001,10.5930814743042,42,10,13,62,3811
238,16281,-213.59399999999997,0.6133262500000001,10.22281551361084,35,4,2,40,3821
239,16351,-73.43100000000014,0.61166375,8.297163009643555,52,14,4,59,3838
240,16422,-880.3199999999999,0.6099775000000001,13.736871719360352,45,7,19,68,3856
241,16479,-40.90700000000012,0.60862375,19.232709884643555,42,5,10,56,3870
242,16541,-286.33500000000004,0.60715125,8.110282897949219,41,6,15,59,3886
243,16597,-325.89500000000004,0.60582125,8.498159408569336,41,6,9,53,3900
244,16643,-309.74300000000005,0.60472875,16.304872512817383,36,3,7,43,3911
245,16707,-176.62199999999996,0.6032087500000001,10.928595542907715,45,7,12,60,3927
246,16764,-395.32899999999995,0.601855,7.071846008300781,43,7,7,55,3942
247,16824,-124.51999999999995,0.60043,9.138965606689453,37,9,14,59,3957
248,16893,-86.978,0.59879125,9.235809326171875,46,11,12,64,3974
249,16963,-1188.9129999999998,0.59712875,7.156330108642578,51,6,13,65,3991
250,17004,-44.89199999999994,0.596155,17.76786231994629,34,1,6,41,4002
251,17060,55.62199999999998,0.594825,13.459524154663086,46,7,3,56,4016
252,17120,-38.76400000000015,0.5934,16.21666145324707,46,6,8,56,4031
253,17178,-72.5399999999999,0.5920225,12.589798927307129,41,8,9,56,4045
254,17243,-146.5530000000001,0.59047875,14.495081901550293,50,5,10,61,4061
255,17293,-174.82100000000014,0.58929125,9.023004531860352,41,5,4,47,4074
256,17356,-41.42300000000009,0.5877950000000001,14.060571670532227,52,7,4,59,4090
257,17430,-139.48799999999994,0.5860375,8.130824089050293,54,13,7,66,4108
258,17484,-304.70500000000004,0.584755,12.016012191772461,37,7,10,51,4122
259,17552,-110.92900000000016,0.58314,13.58373737335205,42,11,15,62,4139
260,17607,-394.25000000000017,0.58183375,9.670695304870605,36,7,12,51,4152
261,17680,-558.0270000000002,0.5801000000000001,17.94757080078125,50,10,13,65,4171
262,17731,-143.57500000000002,0.5788887500000001,14.429298400878906,37,4,10,50,4183
263,17781,-34.45000000000006,0.57770125,10.519567489624023,38,5,7,46,4196
264,17826,-393.74,0.5766325000000001,13.767462730407715,34,5,6,43,4207
265,17890,-83.9360000000001,0.5751125,14.339079856872559,44,11,9,58,4223
266,17956,-390.937,0.573545,7.3756327629089355,46,9,11,60,4240
267,18027,61.914000000000016,0.5718587500000001,12.846757888793945,51,10,10,69,4257
268,18090,-192.74,0.5703625000000001,10.185840606689453,45,7,11,59,4273
269,18156,-241.56500000000003,0.5687949999999999,9.924720764160156,51,8,7,63,4290
270,18234,-292.227,0.5669425,10.010905265808105,53,10,15,70,4309
271,18329,-474.14100000000025,0.5646862500000001,12.44593334197998,57,14,24,89,4333
