episode,step,episode_return,cost_per_order,delivered,dropped,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
63,4723,-373.73100000000005,25.403264705882346,34,30,0.8878287499999999,1.9623571634292603,41,10,2,47,930
64,4794,-166.18799999999996,18.84442105263157,38,20,0.8861425,2.258568048477173,49,12,10,66,948
65,4870,-319.8550000000001,21.698977272727266,44,36,0.8843375,2.519587755203247,54,12,10,67,967
66,4938,-180.10900000000007,19.103564102564096,39,22,0.8827225,2.524117946624756,49,12,7,60,984
67,4991,-250.84200000000004,22.681312499999997,32,21,0.88146375,3.3963630199432373,42,7,4,48,997
68,5059,-531.6210000000001,29.89738235294117,34,40,0.87984875,2.5273821353912354,43,14,11,64,1014
69,5148,-88.25599999999993,16.625244444444437,45,22,0.877735,2.28228759765625,55,22,12,78,1037
70,5208,-380.5519999999999,24.355578947368418,38,34,0.87631,1.7830519676208496,49,7,4,53,1052
71,5265,-101.40600000000005,17.91927272727272,33,12,0.87495625,2.3087127208709717,42,8,7,53,1066
72,5326,-171.02400000000006,19.88411428571428,35,19,0.8735075,2.6102077960968018,44,9,8,52,1081
73,5391,-202.87900000000002,20.217749999999995,36,21,0.87196375,2.1646435260772705,45,16,4,60,1097
74,5456,-266.17500000000007,22.460428571428565,35,25,0.87042,2.6774027347564697,46,13,6,58,1114
75,5539,-242.92900000000006,20.862078947368417,38,25,0.86844875,1.721797227859497,47,19,17,74,1134
76,5600,-80.17300000000012,17.28808571428571,35,13,0.867,3.0299112796783447,44,8,9,58,1150
77,5659,-197.46599999999992,21.246866666666662,30,15,0.86559875,2.8852293491363525,39,14,6,54,1164
78,5707,-190.63799999999992,21.399931034482755,29,14,0.86445875,2.514072895050049,39,5,4,45,1176
79,5765,-475.845,28.077361111111106,36,40,0.86308125,2.198139190673828,44,8,6,53,1191
80,5828,-121.98999999999995,18.19771428571428,35,15,0.861585,3.053358554840088,43,13,7,59,1207
81,5913,-325.524,21.60561702127659,47,40,0.85956625,2.224217414855957,58,21,6,75,1228
82,5986,-215.06900000000007,20.123974999999994,40,26,0.8578325,1.5209603309631348,51,11,11,67,1246
83,6053,-207.06699999999998,20.77105714285714,35,21,0.8562412500000001,2.7930474281311035,44,15,8,60,1263
84,6108,-293.65099999999995,23.4430606060606,33,24,0.854935,3.154893636703491,43,9,3,50,1277
85,6177,-744.2090000000001,34.43672972972972,37,57,0.85329625,2.5867879390716553,50,14,5,64,1294
